Traj,month,mean_chl,month_chl
2,1,NA,NA
2,2,NA,0.45388999016295284
2,3,0.15520015572227777,0.32207880463604655
2,4,0.23547522677724056,0.6715311299752709
2,5,0.5659075494912954,1.4108803667171865
2,6,1.3291378807053607,1.4754400272931767
2,7,1.4665520230335025,0.8462936888786353
2,8,1.1890162080432456,0.7990466622891601
2,9,1.4973538900241068,1.044600720946248
2,10,NA,1.0602299852637762
2,11,NA,NA
2,12,NA,NA
18,1,NA,NA
18,2,NA,0.45388999016295284
18,3,0.15775832658469238,0.32207880463604655
18,4,0.22815226200246685,0.6715311299752709
18,5,0.4895255346452036,1.4108803667171865
18,6,1.3743770605505783,1.4754400272931767
18,7,2.6956495577828927,0.8462936888786353
18,8,1.2905744481450059,0.7990466622891601
18,9,1.6033292742528822,1.044600720946248
18,10,NA,1.0602299852637762
18,11,NA,NA
18,12,NA,NA
19,1,NA,NA
19,2,NA,0.45388999016295284
19,3,0.1959875547712548,0.32207880463604655
19,4,0.23946775705522996,0.6715311299752709
19,5,0.5262970571334545,1.4108803667171865
19,6,1.283969568900573,1.4754400272931767
19,7,1.5155516418380974,0.8462936888786353
19,8,1.2220798692298072,0.7990466622891601
19,9,1.4804046267132194,1.044600720946248
19,10,NA,1.0602299852637762
19,11,NA,NA
19,12,NA,NA
41,1,NA,NA
41,2,NA,0.45388999016295284
41,3,0.3595484328136526,0.32207880463604655
41,4,0.4597395970616289,0.6715311299752709
41,5,0.44657416523180227,1.4108803667171865
41,6,1.2687675482869998,1.4754400272931767
41,7,1.3450607839674458,0.8462936888786353
41,8,1.1198120959993703,0.7990466622891601
41,9,1.5525063634158587,1.044600720946248
41,10,NA,1.0602299852637762
41,11,NA,NA
41,12,NA,NA
66,1,NA,NA
66,2,NA,0.45388999016295284
66,3,0.18966759097455554,0.32207880463604655
66,4,0.2297270473587763,0.6715311299752709
66,5,0.6795350721949502,1.4108803667171865
66,6,2.3374589204326552,1.4754400272931767
66,7,2.3810673421882824,0.8462936888786353
66,8,0.9814590373294795,0.7990466622891601
66,9,1.1865754004675841,1.044600720946248
66,10,NA,1.0602299852637762
66,11,NA,NA
66,12,NA,NA
70,1,NA,NA
70,2,NA,0.45388999016295284
70,3,0.3202605007540273,0.32207880463604655
70,4,1.5589779684629896,0.6715311299752709
70,5,0.6041864679471416,1.4108803667171865
70,6,1.1359207677546324,1.4754400272931767
70,7,1.3321174815857464,0.8462936888786353
70,8,1.073621294879251,0.7990466622891601
70,9,1.5897266158653414,1.044600720946248
70,10,NA,1.0602299852637762
70,11,NA,NA
70,12,NA,NA
74,1,NA,NA
74,2,NA,0.45388999016295284
74,3,0.1650340403805473,0.32207880463604655
74,4,0.2560062666171752,0.6715311299752709
74,5,0.5193075555421057,1.4108803667171865
74,6,1.2091594097764569,1.4754400272931767
74,7,1.6210179532973135,0.8462936888786353
74,8,1.2048975432095823,0.7990466622891601
74,9,1.4750682071055976,1.044600720946248
74,10,NA,1.0602299852637762
74,11,NA,NA
74,12,NA,NA
75,1,NA,NA
75,2,0.2248784349344316,0.45388999016295284
75,3,0.2680318851070673,0.32207880463604655
75,4,1.274999544126849,0.6715311299752709
75,5,0.8866945541839487,1.4108803667171865
75,6,1.0000815053222851,1.4754400272931767
75,7,1.246000413444771,0.8462936888786353
75,8,1.078988411028171,0.7990466622891601
75,9,1.434742425588356,1.044600720946248
75,10,NA,1.0602299852637762
75,11,NA,NA
75,12,NA,NA
77,1,NA,NA
77,2,NA,0.45388999016295284
77,3,0.1811625627237461,0.32207880463604655
77,4,0.2634505121821192,0.6715311299752709
77,5,0.5216154070881168,1.4108803667171865
77,6,1.169777501332626,1.4754400272931767
77,7,1.8742905313338571,0.8462936888786353
77,8,1.1471501778202247,0.7990466622891601
77,9,1.516865884836175,1.044600720946248
77,10,NA,1.0602299852637762
77,11,NA,NA
77,12,NA,NA
91,1,NA,NA
91,2,NA,0.45388999016295284
91,3,0.323070096725522,0.32207880463604655
91,4,0.31552273882083354,0.6715311299752709
91,5,0.40740384567867627,1.4108803667171865
91,6,1.4420829619056994,1.4754400272931767
91,7,2.7773579162420687,0.8462936888786353
91,8,1.3267856121206398,0.7990466622891601
91,9,1.2498447890180562,1.044600720946248
91,10,NA,1.0602299852637762
91,11,NA,NA
91,12,NA,NA
95,1,NA,NA
95,2,NA,0.45388999016295284
95,3,0.16725280921347857,0.32207880463604655
95,4,0.24971455126705003,0.6715311299752709
95,5,0.438594974846725,1.4108803667171865
95,6,1.3655178708404991,1.4754400272931767
95,7,2.561403470331253,0.8462936888786353
95,8,1.3347480339979205,0.7990466622891601
95,9,1.7297913854189042,1.044600720946248
95,10,NA,1.0602299852637762
95,11,NA,NA
95,12,NA,NA
103,1,NA,NA
103,2,0.22033661326164738,0.45388999016295284
103,3,0.26809683079611757,0.32207880463604655
103,4,1.2518507422950014,0.6715311299752709
103,5,0.8791829301492712,1.4108803667171865
103,6,0.9802854156236348,1.4754400272931767
103,7,1.234982495991195,0.8462936888786353
103,8,1.1186339933758283,0.7990466622891601
103,9,1.4356950002568445,1.044600720946248
103,10,NA,1.0602299852637762
103,11,NA,NA
103,12,NA,NA
113,1,NA,NA
113,2,0.20447521415476355,0.45388999016295284
113,3,0.2780297180605039,0.32207880463604655
113,4,0.6684048688114492,0.6715311299752709
113,5,0.8228086684153687,1.4108803667171865
113,6,1.0430956005681353,1.4754400272931767
113,7,0.9610470179849343,0.8462936888786353
113,8,0.9294685812616568,0.7990466622891601
113,9,1.289776483229522,1.044600720946248
113,10,NA,1.0602299852637762
113,11,NA,NA
113,12,NA,NA
123,1,NA,NA
123,2,0.22228705757638303,0.45388999016295284
123,3,0.2795143491413747,0.32207880463604655
123,4,0.59702664362821245,0.6715311299752709
123,5,0.8367576110495042,1.4108803667171865
123,6,0.9662965366398606,1.4754400272931767
123,7,0.970706710835788,0.8462936888786353
123,8,0.965802791953957,0.7990466622891601
